molecule,prec,MPI,OMP,Push back,Setup linear system,Solve linear system,Expand solution,Total KAIN
ch4_006,5,01,02,1.96175e-01,5.74968e+00,1.57280e-05,8.45755e+00,1.44036e+01
ch4_006,5,01,04,3.33647e-01,4.54379e+00,1.88520e-05,5.73605e+00,1.06136e+01
ch4_006,5,01,08,4.21954e-01,3.41592e+00,1.69030e-05,4.01277e+00,7.85079e+00
ch4_006,5,01,16,4.43592e-01,2.93283e+00,1.88980e-05,3.01264e+00,6.38921e+00
ch4_006,5,01,32,4.69059e-01,2.80214e+00,2.13930e-05,2.48522e+00,5.75660e+00
ch4_006,5,02,01,2.03186e-01,5.22950e+00,1.48430e-05,7.67664e+00,1.31095e+01
ch4_006,5,02,02,2.30023e-01,3.23626e+00,8.15100e-06,4.32317e+00,7.78957e+00
ch4_006,5,02,04,2.47964e-01,2.19047e+00,1.42410e-05,2.57100e+00,5.00956e+00
ch4_006,5,02,08,2.29564e-01,1.59507e+00,1.77980e-05,1.88325e+00,3.70802e+00
ch4_006,5,02,16,2.48947e-01,1.49468e+00,2.57670e-05,1.54008e+00,3.28389e+00
ch4_006,5,02,32,4.39552e-01,1.75908e+00,1.93730e-05,1.51009e+00,3.70888e+00
ch4_006,5,04,01,9.00974e-01,3.54900e+00,1.64840e-05,5.96153e+00,1.04116e+01
ch4_006,5,04,02,1.03887e-01,2.03057e+00,1.62700e-05,2.84050e+00,4.97507e+00
ch4_006,5,04,04,2.90679e-01,1.65044e+00,1.80940e-05,2.24541e+00,4.18667e+00
ch4_006,5,04,08,4.33194e-01,1.24049e+00,1.70000e-05,1.48425e+00,3.15808e+00
ch4_006,5,04,16,2.89183e-01,1.04818e+00,1.59300e-05,1.09060e+00,2.42811e+00
ch4_006,5,04,32,3.13869e-01,8.78702e-01,1.98110e-05,7.84881e-01,1.97759e+00
ch4_006,5,08,01,4.71981e-02,2.04976e+00,2.10620e-05,2.40613e+00,4.50324e+00
ch4_006,5,08,02,6.89052e-02,1.11956e+00,8.56000e-06,1.70985e+00,2.89843e+00
ch4_006,5,08,04,1.08242e-01,7.80128e-01,1.78190e-05,1.06265e+00,1.95115e+00
ch4_006,5,08,08,7.14118e-02,4.84328e-01,1.51710e-05,6.00497e-01,1.15636e+00
ch4_006,5,08,16,4.98206e-02,4.80727e-01,2.32730e-05,5.03689e-01,1.03440e+00
ch4_006,5,08,32,2.46970e-01,5.48233e-01,1.80010e-05,5.64449e-01,1.35981e+00
ch4_006,5,16,01,4.36071e-01,1.04756e+00,8.61500e-06,1.69920e+00,3.18294e+00
ch4_006,5,16,02,8.80503e-01,6.62515e-01,8.44500e-06,1.04205e+00,2.58518e+00
ch4_006,5,16,04,4.53900e-01,4.12469e-01,8.18200e-06,6.06939e-01,1.47341e+00
ch4_006,5,16,08,5.92124e-01,3.15365e-01,8.21000e-06,4.61648e-01,1.36925e+00
ch4_006,5,16,16,3.54687e-01,2.55714e-01,2.14840e-05,3.32905e-01,9.43445e-01
ch4_006,5,16,32,3.85847e-01,3.12174e-01,2.25570e-05,2.67784e-01,9.65964e-01
ch4_006,6,01,01,4.64395e-01,1.98650e+01,1.98100e-05,3.85979e+01,5.89274e+01
ch4_006,6,01,02,6.25485e-01,1.22742e+01,1.96800e-05,2.12489e+01,3.41487e+01
ch4_006,6,01,04,8.95856e-01,9.03521e+00,1.71850e-05,1.30291e+01,2.29604e+01
ch4_006,6,01,08,8.04552e-01,6.83248e+00,1.90870e-05,9.46688e+00,1.71041e+01
ch4_006,6,01,16,8.94500e-01,5.86544e+00,2.19730e-05,6.52591e+00,1.32860e+01
ch4_006,6,01,32,1.01783e+00,5.31816e+00,2.42730e-05,5.73448e+00,1.20707e+01
ch4_006,6,02,01,1.13119e+00,1.04578e+01,1.64170e-05,1.85599e+01,3.01491e+01
ch4_006,6,02,02,5.46469e-01,6.76720e+00,9.15200e-06,1.11036e+01,1.84174e+01
ch4_006,6,02,04,4.94222e-01,4.10623e+00,1.34890e-05,6.07436e+00,1.06749e+01
ch4_006,6,02,08,4.82697e-01,3.01833e+00,1.97480e-05,4.14785e+00,7.64900e+00
ch4_006,6,02,16,4.67446e-01,2.56502e+00,1.76760e-05,3.12012e+00,6.15272e+00
ch4_006,6,04,01,4.56377e-01,6.71873e+00,2.20930e-05,1.35421e+01,2.07174e+01
ch4_006,6,04,02,2.73044e-01,3.67226e+00,1.95940e-05,6.96411e+00,1.09095e+01
ch4_006,6,04,04,8.00425e-01,2.77172e+00,1.63640e-05,4.21097e+00,7.78324e+00
ch4_006,6,04,08,4.35228e-01,2.00718e+00,1.85900e-05,3.04301e+00,5.48555e+00
ch4_006,6,04,16,5.59473e-01,1.70019e+00,1.67690e-05,2.12526e+00,4.38507e+00
ch4_006,6,04,32,4.84373e-01,1.62505e+00,1.71200e-05,1.70695e+00,3.81650e+00
ch4_006,6,08,01,1.49036e-01,3.54450e+00,1.73400e-05,6.78817e+00,1.04818e+01
ch4_006,6,08,02,1.22565e-01,2.37869e+00,1.00630e-05,4.13792e+00,6.63930e+00
ch4_006,6,08,04,9.28383e-02,1.32602e+00,1.84600e-05,2.17534e+00,3.59433e+00
ch4_006,6,08,08,1.30912e-01,9.88487e-01,1.47340e-05,1.52621e+00,2.64573e+00
ch4_006,6,08,16,1.31048e-01,8.38227e-01,2.55570e-05,1.12598e+00,2.09543e+00
ch4_006,6,08,32,2.87479e-01,8.68009e-01,1.90460e-05,9.19134e-01,2.07477e+00
ch4_006,6,16,01,2.87453e+00,2.34599e+00,8.08000e-06,3.64504e+00,8.86823e+00
ch4_006,6,16,02,1.80622e+00,1.49713e+00,6.10821e-03,1.96521e+00,5.27477e+00
ch4_006,6,16,04,1.00067e+00,8.78297e-01,8.77200e-06,1.17582e+00,3.05491e+00
ch4_006,6,16,08,9.12303e-01,6.52912e-01,9.74600e-06,8.14867e-01,2.38022e+00
ch4_006,6,16,16,5.71663e-01,5.01358e-01,1.38860e-05,6.29606e-01,1.70273e+00
ch4_006,6,16,32,9.01000e-01,6.38357e-01,1.48400e-05,4.64937e-01,2.00442e+00
ch4_008,4,04,01,3.92020e-02,1.17013e+00,1.88640e-05,1.87422e+00,3.08370e+00
ch4_008,4,04,02,5.36229e-02,7.58692e-01,1.76600e-05,1.09512e+00,1.90756e+00
ch4_008,4,04,04,1.93729e-01,7.71537e-01,2.11600e-05,8.62005e-01,1.82741e+00
ch4_008,4,04,08,1.73297e-01,5.82084e-01,1.97080e-05,7.01273e-01,1.45681e+00
ch4_008,4,04,16,2.15659e-01,4.51129e-01,2.22140e-05,4.77050e-01,1.14400e+00
ch4_008,4,04,32,2.31217e-01,4.51986e-01,1.87410e-05,4.11644e-01,1.09499e+00
ch4_008,4,08,01,3.60646e-02,6.83978e-01,1.47050e-05,1.09246e+00,1.81264e+00
ch4_008,4,08,02,1.39690e-02,4.26366e-01,1.03500e-05,6.23918e-01,1.06436e+00
ch4_008,4,08,04,1.62271e-02,2.91174e-01,1.98880e-05,3.98247e-01,7.05774e-01
ch4_008,4,08,08,1.62658e-02,2.36623e-01,1.93570e-05,3.11371e-01,5.64389e-01
ch4_008,4,08,16,2.52718e-02,2.17490e-01,2.62000e-05,2.52224e-01,4.95148e-01
ch4_008,4,08,32,1.73415e-01,2.39378e-01,2.60540e-05,2.23689e-01,6.36646e-01
ch4_008,4,16,01,8.17769e-03,3.52017e-01,8.65500e-06,6.19397e-01,9.79708e-01
ch4_008,4,16,02,1.61754e-02,2.36593e-01,8.38000e-06,3.72569e-01,6.25442e-01
