molecule,prec,MPI,OMP,Kinetic matrix,Potential matrix,Total matrix
ch4_004,4,01,16,1.252819736000000e+00,2.590695431000000e+00,3.84371e+00
ch4_004,4,01,32,1.193610115000000e+00,1.736276054000000e+00,2.93007e+00
ch4_004,4,02,01,2.292014917000000e+00,1.436562229000000e+01,1.66578e+01
ch4_004,4,02,02,1.599993754000000e+00,7.550063688000000e+00,9.15025e+00
ch4_004,4,02,04,1.128587945000000e+00,4.029353663000000e+00,5.15812e+00
ch4_004,4,02,08,1.024418186000000e+00,2.277305949000000e+00,3.30193e+00
ch4_004,4,02,16,8.753831670000000e-01,1.431234212000000e+00,2.30684e+00
ch4_004,4,02,32,8.981134060000000e-01,1.056142808000000e+00,1.95448e+00
ch4_004,4,04,01,1.355050003000000e+00,8.131678659000000e+00,9.48691e+00
ch4_004,4,04,02,9.102503640000000e-01,4.224532043000000e+00,5.13497e+00
ch4_004,4,04,04,7.248187410000000e-01,2.361122657000000e+00,3.08612e+00
ch4_004,4,04,08,6.271925040000000e-01,1.380220707000000e+00,2.00759e+00
ch4_004,4,04,16,6.540993850000000e-01,8.758279090000000e-01,1.53011e+00
ch4_004,4,04,32,5.533974770000000e-01,6.200772170000000e-01,1.17370e+00
ch4_004,4,08,01,8.605359490000000e-01,4.615331260000000e+00,5.47605e+00
ch4_004,4,08,02,7.286854960000000e-01,2.460554242000000e+00,3.18941e+00
ch4_004,4,08,04,4.775947330000000e-01,1.357032807000000e+00,1.83481e+00
ch4_004,4,08,08,4.152018900000000e-01,8.145557610000000e-01,1.22994e+00
ch4_004,4,08,16,3.880175230000000e-01,5.492728480000000e-01,9.37470e-01
ch4_004,4,08,32,4.007912990000000e-01,4.058120920000000e-01,8.06826e-01
ch4_004,4,16,01,6.976162640000000e-01,2.932860193000000e+00,3.63065e+00
ch4_004,4,16,02,5.355180590000000e-01,1.610691295000000e+00,2.14638e+00
ch4_004,4,16,04,4.781025850000000e-01,9.598108150000000e-01,1.43809e+00
ch4_004,4,16,08,4.106167440000000e-01,5.825725320000000e-01,9.93365e-01
ch4_004,4,16,16,3.608122910000000e-01,4.035724930000000e-01,7.64615e-01
ch4_004,4,16,32,3.134509050000000e-01,3.115682800000000e-01,6.25213e-01
ch4_004,5,01,01,1.150952030600000e+01,7.861649284799999e+01,9.01262e+01
ch4_004,5,01,02,7.183277007000000e+00,4.073647275500000e+01,4.79199e+01
ch4_004,5,01,04,5.309654429000000e+00,2.188937918500000e+01,2.71992e+01
ch4_004,5,01,08,4.262591730000000e+00,1.254578729400000e+01,1.68086e+01
ch4_004,5,01,16,3.724362409000000e+00,7.433040847000000e+00,1.11576e+01
ch4_004,5,01,32,3.471192240000000e+00,5.224774809000000e+00,8.69621e+00
ch4_004,5,02,01,6.911453933000000e+00,4.271050378800000e+01,4.96221e+01
ch4_004,5,02,02,4.680286659000000e+00,2.226564350900000e+01,2.69461e+01
ch4_004,5,02,04,3.334844566000000e+00,1.192901687300000e+01,1.52641e+01
ch4_004,5,02,08,2.749264195000000e+00,6.688118357000000e+00,9.43756e+00
ch4_004,5,02,16,2.580533825000000e+00,4.169196741000000e+00,6.74994e+00
ch4_004,5,02,32,2.908500301000000e+00,5.651831108000000e+00,8.56056e+00
ch4_004,5,04,01,5.340067923000000e+00,3.762543596200000e+01,4.29657e+01
ch4_004,5,04,02,2.942595834000000e+00,1.706148298300000e+01,2.00043e+01
ch4_004,5,04,04,2.399823500000000e+00,1.021425698200000e+01,1.26143e+01
ch4_004,5,04,08,1.722939666000000e+00,4.661113460000000e+00,6.38423e+00
ch4_004,5,04,16,1.635650106000000e+00,3.461818403000000e+00,5.09765e+00
ch4_004,5,04,32,1.542729316000000e+00,3.157344798000000e+00,4.70031e+00
ch4_004,5,08,01,3.008576173000000e+00,1.884134262800000e+01,2.18501e+01
ch4_004,5,08,02,1.961877120000000e+00,1.032595733000000e+01,1.22881e+01
ch4_004,5,08,04,1.524348961000000e+00,4.449908415000000e+00,5.97444e+00
ch4_004,5,08,08,1.245875244000000e+00,2.861893369000000e+00,4.10794e+00
ch4_004,5,08,16,1.154263864000000e+00,1.950704481000000e+00,3.10518e+00
ch4_004,5,08,32,1.101282920000000e+00,1.905140906000000e+00,3.00664e+00
ch4_004,5,16,01,2.195825271000000e+00,9.664184792000000e+00,1.18602e+01
ch4_004,5,16,02,1.641810683000000e+00,5.600145040000000e+00,7.24213e+00
ch4_004,5,16,04,1.297663480000000e+00,3.657410124000000e+00,4.95525e+00
ch4_004,5,16,08,1.140056970000000e+00,1.947972293000000e+00,3.08825e+00
ch4_004,5,16,16,9.591291140000000e-01,1.463906351000000e+00,2.42322e+00
ch4_004,5,16,32,1.054899223000000e+00,1.294879134000000e+00,2.34996e+00
ch4_004,6,01,01,2.288879679500000e+01,1.625510958750000e+02,1.85440e+02
ch4_004,6,01,02,1.439715840600000e+01,8.474570135400000e+01,9.91431e+01
ch4_004,6,01,04,1.046796515500000e+01,4.610811003900000e+01,5.65763e+01
ch4_004,6,01,08,8.460433661000000e+00,2.536284825800000e+01,3.38235e+01
ch4_004,6,01,16,7.351626324000000e+00,1.544117243700000e+01,2.27930e+01
ch4_004,6,01,32,6.934964452000000e+00,1.034597844200000e+01,1.72811e+01
ch4_004,6,02,01,1.401597075200000e+01,9.053177451600000e+01,1.04548e+02
ch4_004,6,02,02,9.117283133999999e+00,4.599542257200000e+01,5.51129e+01
ch4_004,6,02,04,6.629817922000000e+00,2.477073773000000e+01,3.14008e+01
ch4_004,6,02,08,5.574723311000000e+00,1.365616185200000e+01,1.92311e+01
ch4_004,6,02,16,4.948871601000000e+00,8.347149827999999e+00,1.32962e+01
ch4_004,6,02,32,5.903622403000000e+00,1.118966104300000e+01,1.70935e+01
ch4_004,6,04,01,9.515933284999999e+00,6.823037313300000e+01,7.77465e+01
ch4_004,6,04,02,6.445511259000000e+00,3.534950144100000e+01,4.17952e+01
